"","Nombre","Marca","Peso","Color","valoraciones","Precio"
"56","
                
                    
                    
                

                
                    
                    
                        EZBook - Ordenador portátil Jumper 2 Ultrabook, con licencia de Windows 10, de 14,1 pulgadas, con pantalla FHD, CPU Intel Cherry Trail Z8300, 4 GB de RAM, 10.000 mAh
                    
                

                
                    
                    
                
            ","EZBOOK","1,39 Kg","plateado","10 valoraciones","249,90 €"
"57","
                
                    
                    
                

                
                    
                    
                        MSI GL75 9SDK-268XES - Ordenador portátil de 17.3"" FullHD 120Hz (Intel i7-9750H, 16 GB RAM, 1TB SSD, Nvidia GTX1660 Ti-6GB, sin sistema operativo) negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","MSI","4,54 Kg","Negro","34 valoraciones","1.199,99 €"
"58","
                
                    
                    
                

                
                    
                    
                        ASUS ROG Zephyrus GA502DU-AL025 - Portátil Gaming de 15.6"" FullHD 120Hz (AMD Ryzen 7, 16GB RAM, 512GB SSD, GeForce GTX1660Ti-6GB, Sin sistema operativo) Metal Negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","ASUS","2,1 Kg","Metal Negro","42 valoraciones","1.152,28 €"
"59","
                
                    
                    
                

                
                    
                    
                        Apple MacBook Air (de 13 pulgadas, Modelo Anterior,  8GB RAM, 128GB de almacenamiento) - Gris Espacial
                    
                

                
                    
                    
                
            ","-1","-1","-1","126 valoraciones",NA
"60","
                
                    
                    
                

                
                    
                    
                        ASUS ROG Zephyrus M GU502GU-ES133 - Ordenador portátil Gaming de 15.6"" FHD (Intel Core i7-9750H, 32 GB RAM, 1 TB SSD, GeForce GTX 1660Ti, Sin Sistema Operativo) metal negro - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","ASUS","3,88 Kg","metal negro","10 valoraciones","1.399,00 €"
"61","
                
                    
                    
                

                
                    
                    
                        Huawei Matebook D - Ordenador portátil ultrafino 14"" FullHD (AMD Ryzen R5-2500, 8GB RAM, 256GB SSD, AMD Vega 8, Windows 10) Plata - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","HUAWEI","1,45 Kg","Mystic Silver","97 valoraciones",NA
"62","
                
                    
                    
                

                
                    
                    
                        Fanuse 15.6 Pulgadas 6GB RAM 512GB SSD Ultrabook Gaming Laptops para Intel J3455 Win10 1920X1080 Full HD Notebook (512GB)
                    
                

                
                    
                    
                
            ","Fanuse","-1","-1",NA,"395,24 €"
"63","
                
                    
                    
                

                
                    
                    
                        Huawei Matebook X Pro - Ordenador portátil ultrafino táctil 13.9"" 3K (Intel Core i7-8550U, 8GB RAM, 512GB SSD, NVIDIA MX150-2GB, Windows 10 Home) Plata - Teclado QWERTY Español
                    
                

                
                    
                    
                
            ","HUAWEI","1,33 Kg","Plateado","61 valoraciones",NA
"64","
                
                    
                    
                

                
                    
                    
                        Lenovo S145-15IWL - Ordenador portátil 15.6"" FullHD (Intel Core i7-8565U, 8GB RAM, 512GB SSD, Intel UHD Graphics, Windows 10) gris- Teclado QWERTY español
                    
                

                
                    
                    
                
            ","Lenovo","1,85 Kg","Gris Plateado","54 valoraciones",NA
"65","
                
                    
                    
                

                
                    
                    
                        Lenovo ThinkPad X230 – 12,5 Pulgadas HD Laptop Notebook – Intel Core i5 – 3230 M 2 x 2,6 GHz 4 GB DDR3 320 GB HDD – Windows 10 Home 64bit (Certificado y General para embragues)
                    
                

                
                    
                    
                
            ","Lenovo Group Ltd.","1,4 Kg","-1","7 valoraciones","355,40 €"
